Student_ID,Course_Year,Attendance_Percentage,Assignment_Submission_Rate,Quiz_Average_Score,Midterm_Score,Previous_GPA,Late_Submission_Count,Missing_Assignment_Count,Study_Plan_Adherence,Academic_Risk_Level
STU-A712B84B,2,61.49,73.64,57.15,71.27,2.95,0.0,1.0,45.71,Low Risk
STU-533E97C0,2,45.16,49.96,26.16,68.13,3.62,2.0,0.0,93.79,Low Risk
STU-1C58C14F,2,53.99,52.19,97.92,24.07,1.97,6.0,1.0,34.53,Medium Risk
STU-9048B494,3,69.49,55.3,26.05,89.92,3.37,5.0,0.0,59.94,Low Risk
STU-09836B76,1,42.89,59.43,52.81,62.72,3.37,6.0,3.0,44.96,Medium Risk
STU-552D84FB,1,35.22,72.95,52.69,44.41,3.47,1.0,7.0,91.88,Medium Risk
STU-11161001,2,94.62,78.14,15.73,25.51,1.57,5.0,4.0,59.26,High Risk
STU-FAF90320,2,54.82,82.15,71.76,80.52,3.89,4.0,2.0,53.29,Low Risk
STU-310F04A4,4,49.4,73.73,60.75,55.81,1.82,2.0,3.0,90.78,Medium Risk
STU-B5CFA6D7,2,80.4,84.28,57.29,23.26,3.33,9.0,2.0,69.76,Medium Risk
STU-FCC4F48F,4,90.47,29.77,84.54,92.93,1.49,1.0,7.0,45.36,Medium Risk
STU-25A8467A,4,76.1,86.95,35.5,19.55,3.77,4.0,7.0,99.42,Medium Risk
STU-4E858739,4,51.54,50.98,88.19,57.18,2.28,6.0,6.0,92.84,Medium Risk
STU-40196E78,1,91.01,62.3,88.51,64.95,3.01,5.0,5.0,37.49,Medium Risk
STU-DD776CC4,4,68.18,54.7,85.28,99.91,3.55,2.0,0.0,17.88,Low Risk
STU-96FA880D,1,59.78,58.06,44.02,22.68,1.85,5.0,1.0,25.27,Medium Risk
STU-E3815930,1,74.31,42.83,28.82,65.22,2.17,8.0,1.0,28.15,High Risk
STU-90378D6E,2,80.54,33.6,55.39,52.9,1.94,2.0,6.0,77.47,Medium Risk
STU-CB610D93,1,73.6,28.39,37.09,33.14,1.85,1.0,1.0,46.97,Medium Risk
STU-2ED784F1,1,94.82,56.11,19.44,94.8,2.53,8.0,6.0,43.83,High Risk
STU-1C973186,2,75.82,30.02,38.75,81.18,2.64,4.0,7.0,62.5,High Risk
STU-0713C7E8,1,92.11,39.6,54.88,79.94,1.23,0.0,4.0,26.52,Medium Risk
STU-0D2EB1CC,3,73.15,30.69,24.58,90.93,3.02,0.0,4.0,38.45,Low Risk
STU-064A8CF1,1,56.43,28.73,95.27,75.25,2.26,8.0,5.0,56.22,Medium Risk
STU-01AB73F9,2,69.6,90.6,70.77,55.61,3.67,7.0,2.0,54.82,Low Risk
STU-CCEF947D,4,40.61,73.92,26.59,45.24,3.66,1.0,1.0,66.99,Low Risk
STU-CBDCEC2E,2,49.96,93.9,84.03,73.37,3.16,0.0,3.0,41.34,Low Risk
STU-1321B803,3,84.81,71.52,93.89,64.25,3.56,9.0,2.0,47.5,Low Risk
STU-EADD5BED,4,78.0,87.52,37.34,58.86,3.77,8.0,4.0,20.39,Medium Risk
STU-56337185,1,45.82,64.42,27.18,63.02,2.73,3.0,4.0,70.17,Medium Risk
STU-4DFFEA23,2,63.47,57.01,42.41,68.98,3.92,5.0,1.0,57.44,Low Risk
STU-48444D9C,4,44.23,62.28,85.74,97.18,3.87,3.0,4.0,18.55,Low Risk
STU-714898BA,4,90.63,45.62,29.88,77.78,1.33,9.0,0.0,57.9,Medium Risk
STU-E5593453,3,42.1,72.64,81.24,25.88,2.57,3.0,4.0,37.2,Medium Risk
STU-A28DC79C,1,77.53,91.77,75.88,52.01,1.34,7.0,5.0,27.47,High Risk
STU-977C0D3B,4,74.46,82.59,70.37,71.04,3.05,8.0,1.0,15.43,Low Risk
STU-B8511D84,1,65.73,56.96,51.83,25.81,3.3,4.0,7.0,98.43,Medium Risk
STU-9DD1629F,2,53.09,96.31,46.18,93.94,3.65,2.0,2.0,95.57,Low Risk
STU-90700B8E,2,61.26,98.83,22.25,16.93,2.95,6.0,4.0,85.12,Medium Risk
STU-3D53225F,2,87.42,59.45,45.38,64.99,2.36,1.0,3.0,33.37,Medium Risk
STU-8225C3A2,4,84.5,89.17,66.16,97.83,1.47,1.0,6.0,88.85,Medium Risk
STU-3B0121B3,4,83.02,20.38,91.35,75.51,1.38,8.0,7.0,91.26,High Risk
STU-8D71392B,3,83.74,25.33,85.82,70.95,2.46,5.0,3.0,21.94,Medium Risk
STU-4261294F,1,44.35,21.79,17.74,99.77,3.5,8.0,0.0,59.33,Medium Risk
STU-037BADDB,3,41.44,81.85,26.8,81.26,3.25,4.0,2.0,24.09,Medium Risk
STU-3B15E915,3,91.0,26.38,87.12,97.33,3.64,0.0,0.0,60.31,Low Risk
STU-0B87FB0B,2,89.42,21.36,94.84,72.9,3.43,1.0,5.0,86.77,Low Risk
STU-EE105CE7,4,79.29,31.79,19.74,69.89,1.62,2.0,0.0,68.27,Low Risk
STU-D7E431DF,4,74.38,44.5,74.61,78.63,1.6,9.0,7.0,20.35,High Risk
STU-20B4287F,3,58.85,57.18,46.09,26.99,2.37,7.0,7.0,15.84,High Risk
STU-132DBE62,1,49.57,25.23,45.96,82.52,1.57,2.0,1.0,23.01,Medium Risk
STU-41782C68,3,78.4,59.92,69.63,97.31,1.56,2.0,1.0,92.24,Low Risk
STU-67825DED,4,94.35,39.84,83.87,65.05,1.8,6.0,1.0,98.75,Medium Risk
STU-344058C5,2,63.4,41.95,38.36,11.11,1.07,8.0,3.0,56.09,High Risk
STU-E040F88D,4,54.71,85.75,74.96,16.49,2.71,3.0,4.0,45.35,Medium Risk
STU-37DC31B8,2,52.6,98.95,69.05,31.12,2.19,3.0,2.0,44.27,Medium Risk
STU-0710DCF8,3,36.54,57.11,58.97,54.2,1.71,8.0,6.0,51.12,High Risk
STU-8248A582,3,68.82,45.74,66.21,47.24,1.4,4.0,1.0,48.6,Medium Risk
STU-7FD751AB,3,99.24,94.52,16.53,98.13,2.37,5.0,2.0,80.22,Medium Risk
STU-82CB2A9E,4,87.99,60.04,15.35,95.1,2.81,6.0,7.0,59.9,Medium Risk
STU-F66C5935,1,93.34,78.43,61.79,45.35,3.92,5.0,0.0,22.34,Low Risk
STU-CD7087FD,1,75.38,53.1,59.55,81.49,1.76,1.0,6.0,22.47,Medium Risk
STU-5F52E42E,3,66.29,36.2,21.06,67.27,1.08,8.0,5.0,24.45,High Risk
STU-693A0D9A,1,99.38,72.39,56.82,31.88,3.21,1.0,4.0,48.08,Medium Risk
STU-A42DD08E,2,64.07,73.19,79.39,93.81,1.71,8.0,3.0,37.88,Medium Risk
STU-5D8CC0B2,1,94.59,56.81,61.0,33.36,2.45,5.0,6.0,46.47,Medium Risk
STU-6E4BDB24,1,84.52,41.6,59.0,88.33,3.42,4.0,2.0,22.96,Medium Risk
STU-73E098AC,3,56.51,86.55,76.02,67.39,1.11,7.0,4.0,92.08,Medium Risk
STU-4534CC53,3,67.7,42.03,29.61,65.9,1.42,1.0,2.0,85.4,Medium Risk
STU-0D9E2414,1,59.98,72.72,53.89,85.46,1.29,0.0,0.0,62.55,Low Risk
STU-C9BD0488,1,43.85,50.72,27.58,54.49,1.7,6.0,1.0,63.55,High Risk
STU-84D43192,1,58.19,57.8,59.53,86.8,1.52,5.0,0.0,57.85,Medium Risk
STU-89C92E2C,2,92.78,36.91,65.32,59.52,1.95,3.0,2.0,34.4,Medium Risk
STU-A2B8B435,1,83.92,71.96,25.34,98.62,3.24,3.0,3.0,70.62,Low Risk
STU-1AE5FE0C,2,53.04,38.07,21.42,69.39,1.13,5.0,2.0,22.8,High Risk
STU-512FFC66,3,58.91,58.86,29.17,43.67,1.22,6.0,5.0,64.68,High Risk
STU-3200589A,3,75.07,46.28,64.84,78.7,2.69,1.0,6.0,52.41,Medium Risk
STU-059C3619,2,62.05,97.09,31.12,55.89,2.56,6.0,3.0,19.91,Medium Risk
STU-E65AA965,3,67.7,98.58,38.4,82.54,2.42,9.0,3.0,51.76,Medium Risk
STU-091A57BD,4,80.38,80.28,74.72,85.01,2.55,6.0,6.0,65.26,Medium Risk
STU-387E22F7,2,65.37,98.71,36.11,65.52,3.23,5.0,2.0,21.77,Medium Risk
STU-34BE327A,2,47.41,29.08,48.79,88.5,2.73,2.0,2.0,40.37,Medium Risk
STU-78C71842,3,68.84,99.39,93.95,46.31,2.37,7.0,3.0,32.21,Medium Risk
STU-D98E0779,1,58.15,28.28,85.12,15.16,1.25,0.0,2.0,17.02,Medium Risk
STU-4A85CDEB,3,53.9,53.24,36.72,69.64,3.92,7.0,4.0,21.95,Medium Risk
STU-4185BC9F,4,56.33,39.12,65.79,78.8,1.72,6.0,3.0,31.07,Medium Risk
STU-15E5447F,2,63.54,96.31,71.59,16.55,3.61,1.0,5.0,65.99,Low Risk
STU-FAA6296A,3,92.63,70.86,91.52,79.38,2.14,0.0,6.0,95.17,Low Risk
STU-8B0406AD,3,82.71,67.77,61.53,67.52,3.05,7.0,3.0,70.84,Medium Risk
STU-1B33EC88,1,78.41,99.8,62.71,20.48,2.36,3.0,2.0,98.34,Low Risk
STU-7C5521D0,1,65.63,68.99,90.52,58.59,2.06,9.0,0.0,97.26,Medium Risk
STU-2FEA964D,4,35.12,71.69,19.62,19.79,2.84,9.0,4.0,59.25,High Risk
STU-9E2E97AA,4,57.14,23.58,68.39,38.95,2.61,8.0,2.0,33.86,High Risk
STU-D385ADED,3,87.86,88.72,50.42,82.36,1.7,3.0,1.0,92.61,Low Risk
STU-18F196E8,4,60.23,97.61,92.33,19.07,2.01,7.0,4.0,60.51,Medium Risk
STU-A447F258,2,71.65,96.82,96.65,51.34,1.1,7.0,1.0,27.91,Medium Risk
STU-8DEB5039,1,48.31,37.69,29.47,64.51,1.58,0.0,6.0,47.18,High Risk
STU-4D881C9D,2,94.53,38.07,38.92,94.65,2.01,4.0,6.0,43.38,Medium Risk
STU-BD65FF67,1,95.01,49.28,38.24,76.35,3.92,3.0,6.0,45.62,Medium Risk
STU-C3E2AE0D,4,44.49,44.82,23.55,22.53,2.58,3.0,6.0,23.44,High Risk
STU-4086518B,4,82.07,44.45,56.05,97.2,3.1,8.0,4.0,54.23,Medium Risk
STU-A08A15EF,4,39.89,68.42,58.61,53.02,3.02,2.0,6.0,59.71,Medium Risk
STU-F6BB35F9,3,73.91,84.45,63.7,43.27,3.94,7.0,3.0,89.5,Medium Risk
STU-84784AED,2,46.61,94.94,71.35,21.58,2.67,8.0,7.0,20.46,High Risk
STU-2827FEA6,1,44.47,25.43,20.35,94.01,2.76,7.0,6.0,83.92,High Risk
STU-A2E06A87,2,35.27,42.24,67.91,62.76,1.9,3.0,6.0,68.41,High Risk
STU-7184971C,3,96.16,40.4,92.67,98.92,2.88,1.0,7.0,97.16,Low Risk
STU-42344EEC,2,88.9,48.6,53.67,25.65,3.27,9.0,4.0,85.41,High Risk
STU-522978E2,4,40.04,53.95,24.07,59.13,1.31,6.0,2.0,53.33,High Risk
STU-C634EF7F,4,73.96,51.13,22.31,19.89,2.44,2.0,6.0,81.24,Medium Risk
STU-F16F82E2,1,50.14,96.17,38.95,57.18,2.27,5.0,1.0,93.43,Low Risk
STU-18AA15F7,1,52.16,54.97,78.96,90.08,1.34,2.0,0.0,57.16,Low Risk
STU-7AB54524,3,91.82,64.13,37.18,19.84,2.02,3.0,1.0,37.63,Low Risk
STU-0D79D8F6,1,42.43,79.89,84.22,34.27,2.61,1.0,5.0,49.4,Medium Risk
STU-5570F6F7,4,74.1,78.01,84.67,71.42,2.95,4.0,5.0,50.94,Medium Risk
STU-91691385,3,61.08,66.64,53.85,16.87,1.87,9.0,7.0,66.13,High Risk
STU-0A1741D7,1,47.4,88.87,40.57,50.86,2.43,6.0,6.0,51.23,Medium Risk
STU-236CD8DF,2,64.37,69.93,65.8,39.98,3.2,1.0,3.0,66.01,Low Risk
STU-1C5BB15A,2,96.13,89.98,83.9,85.43,2.27,4.0,5.0,17.82,Medium Risk
STU-BE971AAD,4,85.8,44.22,20.49,14.42,3.82,5.0,3.0,47.02,Medium Risk
STU-CD1BDDAB,1,43.59,30.56,96.04,87.71,1.09,5.0,0.0,71.8,Medium Risk
STU-726105B7,4,90.21,85.56,69.9,73.33,1.78,1.0,4.0,24.46,Medium Risk
STU-1B971E82,3,95.93,50.6,48.84,36.75,1.4,1.0,5.0,33.27,High Risk
STU-49E867FB,3,53.0,72.09,58.01,27.8,2.62,1.0,6.0,77.13,Medium Risk
STU-419A5275,1,56.67,78.98,47.78,95.52,1.53,2.0,7.0,71.2,Medium Risk
STU-37B3ACCB,3,43.21,46.14,50.07,59.85,3.23,1.0,4.0,44.39,Low Risk
STU-C37FB7CD,3,57.42,60.41,65.63,41.03,3.76,8.0,6.0,99.35,Medium Risk
STU-58C27372,2,78.75,91.59,20.12,14.0,1.62,9.0,3.0,41.42,High Risk
STU-84E16A95,3,52.69,90.38,29.91,24.92,3.72,4.0,0.0,36.01,Low Risk
STU-861A3CAD,3,35.44,79.95,34.3,63.83,2.9,8.0,7.0,43.99,High Risk
STU-11EECBE4,4,57.01,81.02,49.64,56.18,1.59,7.0,7.0,78.83,High Risk
STU-F558963C,1,64.46,91.81,46.54,78.18,3.21,4.0,3.0,22.85,Medium Risk
STU-DEA80771,4,71.81,78.91,76.39,85.14,1.27,6.0,1.0,39.45,Medium Risk
STU-592F7269,1,79.45,47.17,37.03,45.75,3.08,1.0,4.0,66.67,Medium Risk
STU-3534641F,4,39.02,29.66,19.85,19.08,3.58,9.0,1.0,88.51,High Risk
STU-A0ED4E53,4,65.53,53.75,19.71,81.24,3.85,9.0,1.0,52.09,Medium Risk
STU-4477C052,2,52.31,26.99,15.96,59.84,1.16,6.0,2.0,47.35,Medium Risk
STU-3C78055F,2,96.62,29.26,18.23,98.18,1.19,4.0,7.0,44.82,High Risk
STU-E3F470AE,3,58.39,96.01,87.99,81.67,3.79,5.0,4.0,19.51,Medium Risk
STU-4A9B7AD2,1,41.51,74.07,74.27,39.62,3.37,8.0,3.0,94.75,Medium Risk
STU-7B1A83DE,2,37.7,88.13,99.65,48.56,3.32,7.0,3.0,18.76,Medium Risk
STU-155B9842,2,52.25,71.43,16.73,31.2,3.23,1.0,1.0,62.76,Low Risk
STU-1B9794DD,4,46.63,53.48,87.17,56.08,3.15,9.0,5.0,82.45,High Risk
STU-32596C1C,4,77.24,22.01,74.16,73.97,2.84,5.0,0.0,87.82,Low Risk
STU-AEC8981A,3,90.05,96.47,69.43,65.12,3.44,0.0,2.0,30.7,Low Risk
STU-C4BF20A8,3,55.32,25.67,45.31,40.79,1.1,7.0,2.0,17.77,High Risk
STU-C2C4DCC1,3,72.56,68.81,47.02,84.1,3.22,0.0,6.0,80.31,Low Risk
STU-C969CA6E,2,82.47,28.18,86.87,19.46,2.75,1.0,7.0,20.22,Medium Risk
STU-8239C691,2,60.9,42.73,75.65,22.83,3.72,3.0,6.0,52.15,Medium Risk
STU-4CCED552,3,39.31,34.87,71.98,46.37,3.81,9.0,5.0,45.17,High Risk
STU-3D00E10E,4,49.9,64.3,17.61,73.2,1.72,1.0,5.0,26.41,Medium Risk
STU-55CAB7B8,3,92.4,90.97,30.67,72.48,3.37,4.0,1.0,60.15,Low Risk
STU-EF65AD78,3,88.59,70.85,96.82,42.99,3.87,6.0,7.0,27.85,Medium Risk
STU-F5A8FC74,3,40.62,73.14,53.62,72.69,1.8,6.0,2.0,71.47,Medium Risk
STU-77915DF9,2,49.56,92.71,81.42,15.45,3.55,9.0,2.0,82.73,Medium Risk
STU-A062306A,3,85.0,79.95,48.09,36.1,2.76,4.0,1.0,34.66,Medium Risk
STU-EC74B3EE,2,66.58,89.28,79.97,72.44,2.18,2.0,3.0,77.91,Medium Risk
STU-E19F462A,1,84.4,53.31,25.13,26.56,3.47,4.0,1.0,69.95,Medium Risk
STU-98FA97E6,3,48.72,89.23,18.58,29.14,3.61,3.0,1.0,37.93,Medium Risk
STU-9FA237EA,3,96.93,71.67,54.63,17.82,1.85,5.0,4.0,31.59,Medium Risk
STU-BDBCA975,2,85.93,30.85,65.29,42.8,3.38,0.0,3.0,89.33,Low Risk
STU-4110C1CF,3,47.83,23.1,42.51,84.24,1.15,0.0,1.0,32.13,Medium Risk
STU-1E749651,3,71.3,39.52,75.86,85.27,2.25,7.0,4.0,21.68,Medium Risk
STU-19F93CCC,3,42.35,50.27,57.14,87.61,1.21,5.0,6.0,42.04,High Risk
STU-4080DB5C,4,58.49,87.01,93.91,13.3,1.88,8.0,2.0,91.89,Medium Risk
STU-F37745E3,2,77.88,79.3,22.22,99.41,3.85,9.0,6.0,64.8,Medium Risk
STU-609547F7,4,56.46,96.43,20.66,55.24,3.2,0.0,0.0,76.05,Low Risk
STU-CA9826AA,3,77.69,64.73,91.94,88.55,3.27,6.0,3.0,33.6,Medium Risk
STU-77E0DAB4,3,50.91,79.82,71.87,91.46,1.4,0.0,6.0,56.98,Medium Risk
STU-A8A3830C,3,81.88,42.02,72.05,56.3,2.74,6.0,4.0,82.24,Medium Risk
STU-3F99EC8C,1,58.37,74.37,17.34,14.6,2.17,6.0,5.0,46.43,High Risk
STU-8118A330,1,86.38,76.49,94.7,63.77,3.2,7.0,3.0,75.88,Low Risk
STU-E6904F9E,3,43.88,87.87,80.61,40.07,1.47,4.0,7.0,64.57,High Risk
STU-236B54A2,2,58.53,62.91,79.97,28.61,1.85,7.0,4.0,43.5,High Risk
STU-F770DEDD,3,65.16,71.92,92.51,26.43,3.7,9.0,7.0,50.16,High Risk
STU-11FBC3F6,2,62.55,36.24,64.14,60.33,1.51,4.0,2.0,77.59,Medium Risk
STU-28FDA19D,2,63.15,78.94,48.55,19.4,2.9,8.0,7.0,78.64,High Risk
STU-3CE1663C,2,63.91,87.07,55.86,83.95,1.95,7.0,2.0,90.77,Medium Risk
STU-E0D2490A,3,99.27,67.5,81.07,30.46,1.25,6.0,6.0,60.81,High Risk
STU-F7041C18,1,47.56,29.25,80.34,59.44,1.67,6.0,0.0,52.73,Medium Risk
STU-E709DEE1,3,84.96,45.03,66.81,21.29,3.61,2.0,2.0,81.39,Low Risk
STU-67701C75,2,70.87,58.04,33.54,87.37,3.73,5.0,5.0,47.81,Medium Risk
STU-19A4706E,3,61.89,74.17,84.61,72.29,2.26,5.0,2.0,65.42,Medium Risk
STU-3D70D236,1,76.18,45.63,70.02,28.59,2.86,4.0,6.0,79.63,Medium Risk
STU-B9B3E2E4,1,90.48,87.22,33.81,74.42,2.56,1.0,0.0,93.62,Low Risk
STU-AEB0779F,3,65.33,49.74,55.85,17.46,1.84,9.0,3.0,90.55,High Risk
STU-E00523F8,3,91.21,23.43,99.76,79.5,2.03,6.0,2.0,71.16,Medium Risk
STU-67D92434,1,41.1,83.52,42.91,54.13,2.58,4.0,3.0,16.75,Medium Risk
STU-D8D218EF,4,77.45,71.54,24.91,20.82,3.09,1.0,0.0,77.77,Low Risk
STU-0A9F8AC7,1,56.66,84.16,16.84,59.54,2.05,3.0,1.0,43.15,Low Risk
STU-212CDC12,2,60.14,47.91,30.69,28.08,3.1,0.0,2.0,85.85,Low Risk
STU-CBBAB369,1,72.12,21.41,30.89,70.55,3.88,7.0,3.0,17.28,Medium Risk
STU-84106DB2,2,66.19,25.9,87.94,73.78,1.07,4.0,5.0,24.63,Medium Risk
STU-BDD7400E,2,59.82,28.94,28.27,78.48,1.49,7.0,4.0,73.63,High Risk
STU-BEB43F0B,2,55.04,84.41,88.33,90.54,3.75,0.0,5.0,37.6,Low Risk
STU-5FFD7988,3,75.19,44.11,22.37,68.94,1.21,7.0,4.0,42.02,High Risk
STU-99245E98,2,67.86,99.83,92.06,54.26,3.3,4.0,1.0,49.02,Low Risk
STU-2D97F2F8,3,56.02,80.67,36.79,86.88,2.87,6.0,2.0,31.16,Medium Risk
STU-1016C2D7,1,48.32,68.09,66.98,90.99,1.14,2.0,2.0,88.05,Medium Risk
STU-A7BEE7F1,2,85.34,98.69,28.58,80.36,1.0,2.0,2.0,22.5,Medium Risk
STU-BEAB7209,1,86.98,45.3,48.15,94.82,2.51,8.0,4.0,29.46,High Risk
STU-064E23AB,3,48.9,33.25,22.29,98.15,1.35,6.0,1.0,47.41,Medium Risk
STU-53EFB422,3,52.01,78.98,64.26,32.62,3.62,5.0,4.0,46.94,Medium Risk
STU-B20FAB58,4,50.54,42.25,44.4,26.53,2.44,3.0,2.0,19.41,Medium Risk
STU-CCE482BE,2,92.5,96.88,87.43,50.37,1.7,4.0,1.0,43.77,Low Risk
STU-E2B43C37,4,85.32,99.05,30.45,99.72,1.5,7.0,4.0,79.97,Medium Risk
STU-D661D459,3,39.85,94.11,38.8,17.96,3.51,0.0,5.0,90.7,Low Risk
STU-890B13F5,1,89.12,95.58,30.07,74.08,3.16,1.0,2.0,25.53,Low Risk
STU-193FAAB4,1,37.4,69.25,62.92,86.58,3.15,2.0,7.0,70.38,Medium Risk
STU-FDF8A879,2,51.46,75.37,24.5,99.68,1.26,4.0,1.0,93.76,Medium Risk
STU-B4D270F1,3,94.73,27.54,31.1,65.77,2.87,7.0,6.0,40.49,High Risk
STU-686080A4,1,91.18,81.04,72.67,44.21,3.61,4.0,7.0,89.51,Medium Risk
STU-B4C2510B,3,85.79,36.17,21.33,24.98,3.3,4.0,6.0,28.3,Medium Risk
STU-95CD86DB,2,64.74,87.23,78.17,98.36,1.35,5.0,1.0,88.18,Low Risk
STU-FF39E917,2,55.89,96.92,23.87,93.18,3.85,8.0,0.0,51.27,Low Risk
STU-718D9C66,2,92.3,36.99,64.77,82.41,1.21,8.0,1.0,85.16,Medium Risk
STU-3006C5D3,3,77.71,26.24,99.81,94.94,2.67,8.0,5.0,32.9,Medium Risk
STU-972C3B89,1,54.21,58.71,29.78,15.48,3.84,4.0,0.0,20.86,Low Risk
STU-36BC621A,1,65.11,83.32,37.19,66.83,3.47,5.0,2.0,65.64,Medium Risk
STU-70865809,3,92.3,81.65,91.37,34.73,3.04,6.0,0.0,37.64,Low Risk
STU-0DA02353,2,93.72,75.75,68.23,78.9,3.57,2.0,7.0,83.56,Low Risk
STU-7E9DDB8F,2,77.85,85.66,56.87,18.61,3.02,0.0,2.0,85.11,Low Risk
STU-AE774BD0,1,82.62,34.0,62.83,33.28,1.16,1.0,2.0,76.49,Medium Risk
STU-6B26121B,2,37.55,72.16,40.12,86.52,2.05,3.0,5.0,57.3,Medium Risk
STU-138371E4,1,74.3,68.45,87.7,77.45,2.28,8.0,3.0,93.47,Medium Risk
STU-528E4730,2,79.78,32.27,78.35,99.28,2.64,0.0,7.0,64.77,Low Risk
STU-44C5CFC6,2,36.32,53.15,69.61,67.96,1.69,5.0,5.0,30.31,High Risk
STU-9DD9D052,2,89.85,88.2,94.2,37.28,3.64,3.0,0.0,64.47,Low Risk
STU-DFF1BCD0,4,95.34,97.74,64.14,59.31,1.69,5.0,1.0,63.95,Medium Risk
STU-D021E4B6,2,50.47,73.23,58.51,94.96,2.97,1.0,1.0,69.41,Low Risk
STU-63B26701,2,89.98,93.76,97.93,68.66,3.63,1.0,6.0,23.44,Low Risk
STU-C9D25624,2,78.26,30.56,32.51,89.33,3.2,6.0,5.0,73.54,Medium Risk
STU-34255B72,1,72.75,98.0,27.07,12.06,1.41,4.0,7.0,49.28,High Risk
STU-9BF2966F,4,89.8,22.68,28.79,43.26,3.85,5.0,6.0,66.89,Medium Risk
STU-A6394BA9,3,53.56,62.18,99.1,94.18,1.28,3.0,7.0,93.27,Medium Risk
STU-7E386CD6,1,86.41,43.28,70.44,13.54,1.6,0.0,7.0,43.78,Medium Risk
